cveId,priority
CVE-1999-0516,MEDIUM
CVE-1999-0517,MEDIUM
CVE-2002-0083,HIGH
CVE-2002-0639,HIGH
CVE-2003-0813,HIGH
CVE-2004-1363,HIGH
CVE-2005-1935,HIGH
CVE-2007-0071,HIGH
CVE-2007-2435,HIGH
CVE-2007-3010,HIGH
CVE-2007-3896,CRITICAL
CVE-2007-4381,HIGH
CVE-2007-4559,LOW
CVE-2007-4771,HIGH
CVE-2007-5020,CRITICAL
CVE-2007-5135,HIGH
CVE-2007-5602,HIGH
CVE-2007-5904,HIGH
CVE-2007-5969,HIGH
CVE-2007-6148,HIGH
CVE-2007-6149,HIGH
CVE-2007-6431,HIGH
CVE-2008-0081,HIGH
CVE-2008-0166,HIGH
CVE-2008-0411,HIGH
CVE-2008-0412,HIGH
CVE-2008-0528,HIGH
CVE-2008-0529,HIGH
CVE-2008-0530,HIGH
CVE-2008-0531,HIGH
CVE-2008-0895,HIGH
CVE-2008-0949,HIGH
CVE-2008-1926,LOW
CVE-2008-3438,HIGH
CVE-2008-3475,HIGH
CVE-2008-4037,HIGH
CVE-2008-5416,MEDIUM
CVE-2008-6504,MEDIUM
CVE-2009-0081,HIGH
CVE-2009-0231,HIGH
CVE-2009-0232,HIGH
CVE-2009-0316,LOW
CVE-2009-1920,HIGH
CVE-2009-2499,HIGH
CVE-2009-2523,HIGH
CVE-2009-2625,LOW
CVE-2009-3023,HIGH
CVE-2009-3673,HIGH
CVE-2010-0249,HIGH
CVE-2010-0269,HIGH
CVE-2010-0304,HIGH
CVE-2010-0425,HIGH
CVE-2010-0476,HIGH
CVE-2010-0480,HIGH
CVE-2010-0486,HIGH
CVE-2010-0490,HIGH
CVE-2010-0738,HIGH
CVE-2010-0807,HIGH
CVE-2010-1205,HIGH
CVE-2010-1632,MEDIUM
CVE-2010-1870,HIGH
CVE-2010-2600,MEDIUM
CVE-2010-2772,HIGH
CVE-2010-3055,HIGH
CVE-2010-3190,MEDIUM
CVE-2010-3225,HIGH
CVE-2010-3328,HIGH
CVE-2010-3957,HIGH
CVE-2010-3972,HIGH
CVE-2010-4142,HIGH
CVE-2011-0034,HIGH
CVE-2011-0226,HIGH
CVE-2011-0531,HIGH
CVE-2011-0611,HIGH
CVE-2011-0657,HIGH
CVE-2011-1269,HIGH
CVE-2011-1473,MEDIUM
CVE-2011-1675,LOW
CVE-2011-1676,LOW
CVE-2011-1677,LOW
CVE-2011-1772,LOW
CVE-2011-2960,HIGH
CVE-2011-3192,HIGH
CVE-2011-3401,HIGH
CVE-2011-3402,HIGH
CVE-2011-3414,HIGH
CVE-2011-4858,HIGH
CVE-2011-4969,LOW
CVE-2012-0002,HIGH
CVE-2012-0013,HIGH
CVE-2012-0202,HIGH
CVE-2012-0245,HIGH
CVE-2012-0271,HIGH
CVE-2012-0284,MEDIUM
CVE-2012-0391,HIGH
CVE-2012-0392,HIGH
CVE-2012-0393,MEDIUM
CVE-2012-0394,MEDIUM
CVE-2012-0417,HIGH
CVE-2012-0432,HIGH
CVE-2012-0439,HIGH
CVE-2012-0775,HIGH
CVE-2012-0830,HIGH
CVE-2012-0838,MEDIUM
CVE-2012-0881,LOW
CVE-2012-1538,HIGH
CVE-2012-1539,HIGH
CVE-2012-1775,HIGH
CVE-2012-1823,HIGH
CVE-2012-1851,HIGH
CVE-2012-1876,HIGH
CVE-2012-2122,HIGH
CVE-2012-2174,HIGH
CVE-2012-2311,HIGH
CVE-2012-2516,HIGH
CVE-2012-2528,HIGH
CVE-2012-2556,HIGH
CVE-2012-2677,MEDIUM
CVE-2012-2897,HIGH
CVE-2012-2971,HIGH
CVE-2012-3137,HIGH
CVE-2012-3153,HIGH
CVE-2012-3274,HIGH
CVE-2012-3752,HIGH
CVE-2012-3753,HIGH
CVE-2012-3811,HIGH
CVE-2012-4387,MEDIUM
CVE-2012-4774,HIGH
CVE-2012-4775,HIGH
CVE-2012-4781,HIGH
CVE-2012-4782,HIGH
CVE-2012-4786,HIGH
CVE-2012-4787,HIGH
CVE-2012-4792,HIGH
CVE-2012-4933,HIGH
CVE-2012-4959,HIGH
CVE-2012-5088,HIGH
CVE-2012-5201,HIGH
CVE-2012-5271,HIGH
CVE-2012-5691,HIGH
CVE-2012-5930,HIGH
CVE-2012-5932,HIGH
CVE-2012-5958,HIGH
CVE-2012-5975,HIGH
CVE-2012-6708,LOW
CVE-2013-0006,HIGH
CVE-2013-0007,HIGH
CVE-2013-0018,HIGH
CVE-2013-0019,HIGH
CVE-2013-0020,HIGH
CVE-2013-0021,HIGH
CVE-2013-0022,HIGH
CVE-2013-0023,HIGH
CVE-2013-0024,HIGH
CVE-2013-0025,HIGH
CVE-2013-0026,HIGH
CVE-2013-0027,HIGH
CVE-2013-0028,HIGH
CVE-2013-0029,HIGH
CVE-2013-0030,HIGH
CVE-2013-0073,HIGH
CVE-2013-0077,HIGH
CVE-2013-0087,HIGH
CVE-2013-0088,HIGH
CVE-2013-0089,HIGH
CVE-2013-0091,HIGH
CVE-2013-0092,HIGH
CVE-2013-0093,HIGH
CVE-2013-0094,HIGH
CVE-2013-0634,HIGH
CVE-2013-1038,MEDIUM
CVE-2013-1080,HIGH
CVE-2013-1081,HIGH
CVE-2013-1288,HIGH
CVE-2013-1303,HIGH
CVE-2013-1304,HIGH
CVE-2013-1313,HIGH
CVE-2013-1315,HIGH
CVE-2013-1330,HIGH
CVE-2013-1493,HIGH
CVE-2013-1599,HIGH
CVE-2013-1724,HIGH
CVE-2013-1892,HIGH
CVE-2013-1965,LOW
CVE-2013-1966,HIGH
CVE-2013-2115,HIGH
CVE-2013-2134,MEDIUM
CVE-2013-2135,MEDIUM
CVE-2013-2248,LOW
CVE-2013-3115,HIGH
CVE-2013-3127,HIGH
CVE-2013-3128,HIGH
CVE-2013-3129,HIGH
CVE-2013-3131,HIGH
CVE-2013-3132,HIGH
CVE-2013-3133,HIGH
CVE-2013-3144,HIGH
CVE-2013-3146,HIGH
CVE-2013-3147,HIGH
CVE-2013-3148,HIGH
CVE-2013-3149,HIGH
CVE-2013-3150,HIGH
CVE-2013-3151,HIGH
CVE-2013-3152,HIGH
CVE-2013-3153,HIGH
CVE-2013-3162,HIGH
CVE-2013-3163,HIGH
CVE-2013-3164,HIGH
CVE-2013-3171,HIGH
CVE-2013-3174,HIGH
CVE-2013-3195,HIGH
CVE-2013-3201,HIGH
CVE-2013-3202,HIGH
CVE-2013-3203,HIGH
CVE-2013-3205,HIGH
CVE-2013-3206,HIGH
CVE-2013-3207,HIGH
CVE-2013-3208,HIGH
CVE-2013-3209,HIGH
CVE-2013-3848,HIGH
CVE-2013-3849,HIGH
CVE-2013-3857,HIGH
CVE-2013-3858,HIGH
CVE-2013-3871,HIGH
CVE-2013-3872,HIGH
CVE-2013-3873,HIGH
CVE-2013-3874,HIGH
CVE-2013-3875,HIGH
CVE-2013-3882,HIGH
CVE-2013-3885,HIGH
CVE-2013-3886,HIGH
CVE-2013-3894,HIGH
CVE-2013-4002,LOW
CVE-2013-4316,MEDIUM
CVE-2013-4407,MEDIUM
CVE-2013-4811,HIGH
CVE-2013-5788,MEDIUM
CVE-2014-0107,MEDIUM
CVE-2014-0112,HIGH
CVE-2014-0113,HIGH
CVE-2014-0160,CRITICAL
CVE-2014-0235,HIGH
CVE-2014-0569,HIGH
CVE-2014-0590,HIGH
CVE-2014-1745,MEDIUM
CVE-2014-3560,HIGH
CVE-2014-5415,MEDIUM
CVE-2014-6271,CRITICAL
CVE-2014-6287,HIGH
CVE-2014-8361,HIGH
CVE-2014-8439,HIGH
CVE-2014-8440,HIGH
CVE-2014-8739,HIGH
CVE-2014-9046,LOW
CVE-2014-9727,HIGH
CVE-2015-0250,LOW
CVE-2015-1635,HIGH
CVE-2015-20107,HIGH
CVE-2015-2425,HIGH
CVE-2015-3210,MEDIUM
CVE-2015-4022,MEDIUM
CVE-2015-5209,LOW
CVE-2015-5798,LOW
CVE-2015-6836,MEDIUM
CVE-2015-8381,MEDIUM
CVE-2015-9251,LOW
CVE-2016-1000027,MEDIUM
CVE-2016-10140,LOW
CVE-2016-10228,LOW
CVE-2016-10243,LOW
CVE-2016-1248,MEDIUM
CVE-2016-1388,MEDIUM
CVE-2016-1390,MEDIUM
CVE-2016-1391,MEDIUM
CVE-2016-1727,MEDIUM
CVE-2016-20009,HIGH
CVE-2016-20021,MEDIUM
CVE-2016-2183,LOW
CVE-2016-2309,MEDIUM
CVE-2016-2781,LOW
CVE-2016-3082,MEDIUM
CVE-2016-3225,MEDIUM
CVE-2016-3841,MEDIUM
CVE-2016-4437,MEDIUM
CVE-2016-4460,LOW
CVE-2016-4860,HIGH
CVE-2016-5385,HIGH
CVE-2016-5387,HIGH
CVE-2016-5748,LOW
CVE-2016-5749,LOW
CVE-2016-9299,HIGH
CVE-2017-0199,HIGH
CVE-2017-10271,HIGH
CVE-2017-10992,HIGH
CVE-2017-11164,LOW
CVE-2017-11882,HIGH
CVE-2017-12611,HIGH
CVE-2017-12617,HIGH
CVE-2017-12629,HIGH
CVE-2017-14506,LOW
CVE-2017-17087,LOW
CVE-2017-17215,HIGH
CVE-2017-17731,MEDIUM
CVE-2017-17969,LOW
CVE-2017-18018,LOW
CVE-2017-18368,MEDIUM
CVE-2017-18922,HIGH
CVE-2017-2426,MEDIUM
CVE-2017-2810,LOW
CVE-2017-3300,LOW
CVE-2017-3823,HIGH
CVE-2017-5367,LOW
CVE-2017-5368,LOW
CVE-2017-5595,LOW
CVE-2017-5601,LOW
CVE-2017-5638,CRITICAL
CVE-2017-5715,HIGH
CVE-2017-5753,HIGH
CVE-2017-5953,LOW
CVE-2017-6349,LOW
CVE-2017-6350,LOW
CVE-2017-6512,LOW
CVE-2017-7244,LOW
CVE-2017-7246,LOW
CVE-2017-7269,MEDIUM
CVE-2017-7885,LOW
CVE-2017-7976,LOW
CVE-2017-8046,HIGH
CVE-2017-9096,LOW
CVE-2017-9245,LOW
CVE-2017-9844,MEDIUM
CVE-2018-0500,LOW
CVE-2018-0802,HIGH
CVE-2018-1000115,MEDIUM
CVE-2018-1000120,LOW
CVE-2018-1000122,LOW
CVE-2018-1000518,LOW
CVE-2018-1000654,LOW
CVE-2018-10240,LOW
CVE-2018-10561,MEDIUM
CVE-2018-10620,HIGH
CVE-2018-10933,HIGH
CVE-2018-13049,MEDIUM
CVE-2018-1311,MEDIUM
CVE-2018-13379,HIGH
CVE-2018-14348,LOW
CVE-2018-14553,LOW
CVE-2018-14618,LOW
CVE-2018-14665,MEDIUM
CVE-2018-14847,HIGH
CVE-2018-15906,MEDIUM
CVE-2018-16839,LOW
CVE-2018-16840,LOW
CVE-2018-16842,LOW
CVE-2018-16890,LOW
CVE-2018-17246,MEDIUM
CVE-2018-18074,LOW
CVE-2018-18568,LOW
CVE-2018-18700,LOW
CVE-2018-18981,HIGH
CVE-2018-20062,MEDIUM
CVE-2018-20482,LOW
CVE-2018-4985,LOW
CVE-2018-6643,LOW
CVE-2018-7600,HIGH
CVE-2018-7700,MEDIUM
CVE-2018-7738,LOW
CVE-2018-7852,HIGH
CVE-2018-7857,HIGH
CVE-2018-8267,MEDIUM
CVE-2018-9995,MEDIUM
CVE-2019-0192,HIGH
CVE-2019-0193,HIGH
CVE-2019-0230,MEDIUM
CVE-2019-0233,LOW
CVE-2019-0938,MEDIUM
CVE-2019-0940,MEDIUM
CVE-2019-10068,HIGH
CVE-2019-1010204,LOW
CVE-2019-10202,MEDIUM
CVE-2019-10219,LOW
CVE-2019-10655,HIGH
CVE-2019-10692,HIGH
CVE-2019-11043,HIGH
CVE-2019-11510,HIGH
CVE-2019-1218,LOW
CVE-2019-12280,LOW
CVE-2019-12409,HIGH
CVE-2019-12419,HIGH
CVE-2019-12725,HIGH
CVE-2019-12987,HIGH
CVE-2019-12988,HIGH
CVE-2019-12990,HIGH
CVE-2019-1306,MEDIUM
CVE-2019-13132,LOW
CVE-2019-13224,MEDIUM
CVE-2019-13372,HIGH
CVE-2019-13548,HIGH
CVE-2019-13925,HIGH
CVE-2019-14250,LOW
CVE-2019-14540,HIGH
CVE-2019-14811,LOW
CVE-2019-14812,LOW
CVE-2019-14813,LOW
CVE-2019-14889,MEDIUM
CVE-2019-15052,LOW
CVE-2019-15846,HIGH
CVE-2019-15847,LOW
CVE-2019-16057,HIGH
CVE-2019-16163,LOW
CVE-2019-16285,LOW
CVE-2019-16286,LOW
CVE-2019-1663,HIGH
CVE-2019-16920,HIGH
CVE-2019-17041,MEDIUM
CVE-2019-17042,MEDIUM
CVE-2019-17270,HIGH
CVE-2019-17571,MEDIUM
CVE-2019-18276,LOW
CVE-2019-18858,HIGH
CVE-2019-18935,HIGH
CVE-2019-19012,MEDIUM
CVE-2019-19203,LOW
CVE-2019-19204,LOW
CVE-2019-19781,CRITICAL
CVE-2019-19844,MEDIUM
CVE-2019-20215,HIGH
CVE-2019-20444,LOW
CVE-2019-25013,LOW
CVE-2019-2725,HIGH
CVE-2019-3689,HIGH
CVE-2019-5105,HIGH
CVE-2019-5128,HIGH
CVE-2019-5129,HIGH
CVE-2019-5443,MEDIUM
CVE-2019-5544,HIGH
CVE-2019-5786,HIGH
CVE-2019-6807,HIGH
CVE-2019-6809,HIGH
CVE-2019-6828,HIGH
CVE-2019-6829,HIGH
CVE-2019-7256,HIGH
CVE-2019-7276,HIGH
CVE-2019-7361,MEDIUM
CVE-2019-8854,LOW
CVE-2019-8982,MEDIUM
CVE-2019-9082,MEDIUM
CVE-2019-9569,HIGH
CVE-2019-9670,MEDIUM
CVE-2019-9923,LOW
CVE-2020-0618,MEDIUM
CVE-2020-0688,MEDIUM
CVE-2020-0792,MEDIUM
CVE-2020-10029,LOW
CVE-2020-10245,HIGH
CVE-2020-10644,HIGH
CVE-2020-10663,LOW
CVE-2020-10672,MEDIUM
CVE-2020-10673,MEDIUM
CVE-2020-10735,LOW
CVE-2020-10968,MEDIUM
CVE-2020-10969,MEDIUM
CVE-2020-11111,MEDIUM
CVE-2020-11112,MEDIUM
CVE-2020-11113,MEDIUM
CVE-2020-11455,MEDIUM
CVE-2020-11612,LOW
CVE-2020-11619,MEDIUM
CVE-2020-11620,MEDIUM
CVE-2020-11854,HIGH
CVE-2020-11896,HIGH
CVE-2020-11975,HIGH
CVE-2020-11979,LOW
CVE-2020-12007,HIGH
CVE-2020-12029,HIGH
CVE-2020-12641,MEDIUM
CVE-2020-12695,MEDIUM
CVE-2020-12720,HIGH
CVE-2020-12762,LOW
CVE-2020-12825,LOW
CVE-2020-12912,LOW
CVE-2020-13167,MEDIUM
CVE-2020-13693,MEDIUM
CVE-2020-13844,LOW
CVE-2020-13925,HIGH
CVE-2020-13956,MEDIUM
CVE-2020-14060,MEDIUM
CVE-2020-14061,MEDIUM
CVE-2020-14062,MEDIUM
CVE-2020-14155,LOW
CVE-2020-14195,MEDIUM
CVE-2020-14338,LOW
CVE-2020-14343,HIGH
CVE-2020-1472,CRITICAL
CVE-2020-14882,HIGH
CVE-2020-15250,LOW
CVE-2020-15505,HIGH
CVE-2020-15568,HIGH
CVE-2020-15806,HIGH
CVE-2020-16135,LOW
CVE-2020-16846,HIGH
CVE-2020-1730,LOW
CVE-2020-1745,MEDIUM
CVE-2020-1747,HIGH
CVE-2020-17496,MEDIUM
CVE-2020-17505,MEDIUM
CVE-2020-17506,HIGH
CVE-2020-1752,MEDIUM
CVE-2020-17523,HIGH
CVE-2020-17530,MEDIUM
CVE-2020-1938,MEDIUM
CVE-2020-1956,HIGH
CVE-2020-1967,LOW
CVE-2020-1971,LOW
CVE-2020-24616,MEDIUM
CVE-2020-24750,HIGH
CVE-2020-24949,MEDIUM
CVE-2020-25213,MEDIUM
CVE-2020-25506,MEDIUM
CVE-2020-25592,HIGH
CVE-2020-25658,LOW
CVE-2020-25659,LOW
CVE-2020-26137,LOW
CVE-2020-26541,MEDIUM
CVE-2020-26555,LOW
CVE-2020-26945,MEDIUM
CVE-2020-27216,LOW
CVE-2020-27218,LOW
CVE-2020-27223,LOW
CVE-2020-27350,LOW
CVE-2020-27617,LOW
CVE-2020-27618,LOW
CVE-2020-27783,LOW
CVE-2020-27846,HIGH
CVE-2020-28188,HIGH
CVE-2020-28241,LOW
CVE-2020-28362,LOW
CVE-2020-28366,LOW
CVE-2020-28493,LOW
CVE-2020-28871,HIGH
CVE-2020-28928,LOW
CVE-2020-28948,HIGH
CVE-2020-29390,HIGH
CVE-2020-29509,LOW
CVE-2020-29511,LOW
CVE-2020-29557,HIGH
CVE-2020-29562,LOW
CVE-2020-29582,LOW
CVE-2020-29583,HIGH
CVE-2020-29651,LOW
CVE-2020-3470,HIGH
CVE-2020-35489,HIGH
CVE-2020-35490,MEDIUM
CVE-2020-35491,MEDIUM
CVE-2020-35665,HIGH
CVE-2020-35728,MEDIUM
CVE-2020-3586,HIGH
CVE-2020-36179,MEDIUM
CVE-2020-36180,MEDIUM
CVE-2020-36181,MEDIUM
CVE-2020-36182,MEDIUM
CVE-2020-36183,MEDIUM
CVE-2020-36184,MEDIUM
CVE-2020-36185,MEDIUM
CVE-2020-36186,MEDIUM
CVE-2020-36187,MEDIUM
CVE-2020-36188,MEDIUM
CVE-2020-36189,MEDIUM
CVE-2020-36242,MEDIUM
CVE-2020-36516,LOW
CVE-2020-36518,LOW
CVE-2020-36558,LOW
CVE-2020-36632,HIGH
CVE-2020-36770,MEDIUM
CVE-2020-3864,LOW
CVE-2020-3865,MEDIUM
CVE-2020-3885,LOW
CVE-2020-3887,LOW
CVE-2020-3952,HIGH
CVE-2020-5847,HIGH
CVE-2020-5902,CRITICAL
CVE-2020-6207,HIGH
CVE-2020-6967,HIGH
CVE-2020-7238,MEDIUM
CVE-2020-7247,HIGH
CVE-2020-7471,HIGH
CVE-2020-7656,LOW
CVE-2020-7677,HIGH
CVE-2020-7694,LOW
CVE-2020-7695,LOW
CVE-2020-7796,MEDIUM
CVE-2020-7961,MEDIUM
CVE-2020-8037,LOW
CVE-2020-8177,LOW
CVE-2020-8234,HIGH
CVE-2020-8265,MEDIUM
CVE-2020-8284,LOW
CVE-2020-8285,LOW
CVE-2020-8286,LOW
CVE-2020-8432,HIGH
CVE-2020-8515,HIGH
CVE-2020-8694,LOW
CVE-2020-8695,LOW
CVE-2020-8840,MEDIUM
CVE-2020-8864,MEDIUM
CVE-2020-8908,LOW
CVE-2020-8911,LOW
CVE-2020-8912,LOW
CVE-2020-9409,HIGH
CVE-2020-9412,HIGH
CVE-2020-9488,LOW
CVE-2020-9493,MEDIUM
CVE-2020-9546,MEDIUM
CVE-2020-9547,MEDIUM
CVE-2020-9548,MEDIUM
CVE-2020-9757,MEDIUM
CVE-2020-9784,LOW
CVE-2021-0159,LOW
CVE-2021-0189,MEDIUM
CVE-2021-0397,HIGH
CVE-2021-0507,HIGH
CVE-2021-0870,HIGH
CVE-2021-0930,HIGH
CVE-2021-0968,HIGH
CVE-2021-1138,HIGH
CVE-2021-1140,HIGH
CVE-2021-1142,HIGH
CVE-2021-1289,HIGH
CVE-2021-1290,HIGH
CVE-2021-1291,HIGH
CVE-2021-1292,HIGH
CVE-2021-1293,HIGH
CVE-2021-1294,HIGH
CVE-2021-1310,LOW
CVE-2021-1311,LOW
CVE-2021-1361,HIGH
CVE-2021-1388,HIGH
CVE-2021-1393,HIGH
CVE-2021-1459,HIGH
CVE-2021-1468,HIGH
CVE-2021-1479,HIGH
CVE-2021-1497,HIGH
CVE-2021-1577,HIGH
CVE-2021-1609,HIGH
CVE-2021-1619,HIGH
CVE-2021-1972,HIGH
CVE-2021-1976,HIGH
CVE-2021-20167,MEDIUM
CVE-2021-20190,MEDIUM
CVE-2021-20193,MEDIUM
CVE-2021-20251,MEDIUM
CVE-2021-20269,LOW
CVE-2021-20323,LOW
CVE-2021-20602,HIGH
CVE-2021-20603,HIGH
CVE-2021-20604,HIGH
CVE-2021-20605,HIGH
CVE-2021-21131,LOW
CVE-2021-21295,LOW
CVE-2021-21315,MEDIUM
CVE-2021-21409,LOW
CVE-2021-21985,HIGH
CVE-2021-22156,MEDIUM
CVE-2021-22502,HIGH
CVE-2021-22569,LOW
CVE-2021-22570,LOW
CVE-2021-22681,HIGH
CVE-2021-22696,LOW
CVE-2021-22764,HIGH
CVE-2021-22765,HIGH
CVE-2021-22766,HIGH
CVE-2021-22767,HIGH
